-----------560-----------
4805,bag,31,l i t t e r b a g,4 6 10 23 25 26 28 29 30,-,l i t t e r b a g,"Simple edit score, Progressive alignment"
4805,bag,31,l i t t e r b a g,7 10 11 12 21 26 29 30 32,-,l i t t e r b a g,"Simple edit score, Progressive alignment with LCS"
-----------4807-----------
4806,bag,32,l i t t e r b a g s,4 6 10 23 25 26 28 29 30 36,-,l i t t e r b a g s,"Simple edit score, Progressive alignment"
4806,bag,32,l i t t e r b a g s,7 10 11 12 21 26 29 30 32 36,-,l i t t e r b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4808-----------
4807,bag,33,m a i l b a g,1 2 6 13 28 29 30,-,m a i l b a g,"Simple edit score, Progressive alignment"
4807,bag,33,m a i l b a g,0 3 10 17 29 30 32,-,m a i l b a g,"Simple edit score, Progressive alignment with LCS"
-----------4809-----------
4808,bag,34,m a i l b a g s,1 2 6 13 28 29 30 36,-,m a i l b a g s,"Simple edit score, Progressive alignment"
4808,bag,34,m a i l b a g s,0 3 10 17 29 30 32 36,-,m a i l b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4810-----------
4809,bag,35,n o s e b a g,8 17 24 25 28 29 30,-,n o s e b a g,"Simple edit score, Progressive alignment"
4809,bag,35,n o s e b a g,1 6 13 21 29 30 32,-,n o s e b a g,"Simple edit score, Progressive alignment with LCS"
-----------4811-----------
4810,bag,36,n o s e b a g s,8 17 24 25 28 29 30 36,-,n o s e b a g s,"Simple edit score, Progressive alignment"
4810,bag,36,n o s e b a g s,1 6 13 21 29 30 32 36,-,n o s e b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4812-----------
4811,bag,37,p o s t b a g,16 17 24 27 28 29 30,-,p o s t b a g,"Simple edit score, Progressive alignment"
4811,bag,37,p o s t b a g,5 6 13 27 29 30 32,-,p o s t b a g,"Simple edit score, Progressive alignment with LCS"
-----------4813-----------
4812,bag,38,p o s t b a g s,16 17 24 27 28 29 30 36,-,p o s t b a g s,"Simple edit score, Progressive alignment"
4812,bag,38,p o s t b a g s,5 6 13 27 29 30 32 36,-,p o s t b a g s,"Simple edit score, Progressive alignment with LCS"
-----------4814-----------
